Step: 641266 | Episode 11600 | Return: 0.0 | Elapsed: 82.61 min
Step: 650519 | Episode 11700 | Return: 0.0 | Elapsed: 84.02 min
Step: 659912 | Episode 11800 | Return: 0.0 | Elapsed: 85.46 min
Step: 669424 | Episode 11900 | Return: 0.0 | Elapsed: 86.94 min
Step: 679384 | Episode 12000 | Return: 0.0 | Elapsed: 88.46 min
Step: 688930 | Episode 12100 | Return: 0.0 | Elapsed: 89.98 min
Step: 698738 | Episode 12200 | Return: 0.0 | Elapsed: 91.53 min
Step: 708195 | Episode 12300 | Return: 0.0 | Elapsed: 93.01 min
Step: 718529 | Episode 12400 | Return: 0.0 | Elapsed: 94.68 min
Step: 728201 | Episode 12500 | Return: 0.0 | Elapsed: 96.20 min
Step: 738792 | Episode 12600 | Return: 0.0 | Elapsed: 97.90 min
Step: 749881 | Episode 12700 | Return: 0.0 | Elapsed: 99.72 min
Step: 761447 | Episode 12800 | Return: 0.0 | Elapsed: 101.60 min
Step: 772779 | Episode 12900 | Return: 0.0 | Elapsed: 103.40 min
Step: 784513 | Episode 13000 | Return: 0.0 | Elapsed: 105.28 min
Step: 796202 | Episode 13100 | Return: 0.0 | Elapsed: 107.15 min
Step: 807757 | Episode 13200 | Return: 0.0 | Elapsed: 109.03 min
Step: 819542 | Episode 13300 | Return: 0.0 | Elapsed: 110.94 min
Step: 832016 | Episode 13400 | Return: 0.0 | Elapsed: 112.92 min
Step: 844718 | Episode 13500 | Return: 0.0 | Elapsed: 115.01 min
Step: 857479 | Episode 13600 | Return: 0.0 | Elapsed: 117.03 min
Step: 872019 | Episode 13700 | Return: 0.0 | Elapsed: 119.43 min
Step: 885562 | Episode 13800 | Return: 0.0 | Elapsed: 121.56 min
Step: 899638 | Episode 13900 | Return: 0.0 | Elapsed: 123.87 min
Step: 914467 | Episode 14000 | Return: 0.0 | Elapsed: 126.35 min
Step: 929567 | Episode 14100 | Return: 0.0 | Elapsed: 128.97 min
Step: 944733 | Episode 14200 | Return: 0.0 | Elapsed: 131.49 min
Step: 961468 | Episode 14300 | Return: 0.0 | Elapsed: 134.34 min
Step: 978933 | Episode 14400 | Return: 0.0 | Elapsed: 137.39 min
Step: 997087 | Episode 14500 | Return: 0.0 | Elapsed: 140.58 min
Step: 1015750 | Episode 14600 | Return: 0.0 | Elapsed: 143.78 min
Step: 1034239 | Episode 14700 | Return: 0.0 | Elapsed: 147.18 min
Step: 1053157 | Episode 14800 | Return: 0.0 | Elapsed: 150.79 min
